policy_id,category,title,content
HR001,Leave,Annual Leave,"Employees are entitled to 20 days of annual leave per year."
HR002,Workplace,Working Hours,"The standard working hours are 9:00 AM to 6:00 PM from Monday to Friday."
HR003,Remote Work,Work From Home,"Eligible employees may work from home with prior approval from their manager."
HR004,Leave,Sick Leave,"Employees can request sick leave when they are unable to work due to illness."
HR005,Resignation,Notice Period,"Employees must follow the applicable notice period when resigning."
HR006,Leave,Casual Leave,"Employees are entitled to 12 days of casual leave per year for personal or urgent matters."
HR007,Leave,Maternity Leave,"Eligible female employees can take up to 26 weeks of maternity leave according to company policy and applicable regulations."
HR008,Leave,Paternity Leave,"Eligible employees can take 10 days of paternity leave following the birth or adoption of a child."
HR009,Leave,Bereavement Leave,"Employees may take up to 5 days of bereavement leave following the death of an immediate family member."
HR010,Leave,Public Holidays,"Employees are entitled to holidays listed in the company's official annual holiday calendar."
HR011,Attendance,Attendance Policy,"Employees are expected to report to work on time and maintain regular attendance."
HR012,Attendance,Late Arrival,"Employees who expect to arrive late should inform their manager or supervisor as soon as possible."
HR013,Workplace,Standard Working Hours,"The standard working hours are 9:00 AM to 6:00 PM from Monday to Friday."
HR014,Workplace,Lunch Break,"Employees are provided with a one-hour lunch break during the working day."
HR015,Remote Work,Remote Work Policy,"Eligible employees may work from home with prior approval from their manager."
HR016,Remote Work,Remote Work Eligibility,"Employees may be eligible for remote work based on their role, performance, and business requirements."
HR017,Resignation,Resignation Notice,"Employees must serve the applicable notice period stated in their employment agreement when resigning."
HR018,Resignation,Exit Process,"Employees leaving the organization must complete the required exit formalities and return company property."
HR019,Payroll,Salary Payment,"Employee salaries are normally processed and paid on the last working day of each month."
HR020,Payroll,Salary Slip,"Employees can access their salary slips through the company's payroll or employee portal."
HR021,Overtime,Overtime Policy,"Employees who work beyond their scheduled working hours may be eligible for overtime compensation according to company policy."
HR022,Performance,Performance Review,"Employee performance is reviewed periodically based on goals, responsibilities, and overall performance."
HR023,Training,Employee Training,"Employees may participate in training programs to improve their professional skills and job-related knowledge."
HR024,Workplace,Code of Conduct,"Employees are expected to behave professionally and respectfully toward colleagues, customers, and business partners."
HR025,Security,Confidentiality,"Employees must protect confidential company information and must not disclose it to unauthorized persons."
